Operand,Value,Delta
OX,393.25,-37.25
PMX,388.5,-32.5
PMX,387.5,-31.5
CX,413.5,-57.5
PMX,384.5,-28.5
PMX,383.5,-27.5
PMX,387.5,-31.5
OX,379.25,-23.25
OX,384.5,-28.5
CX,384.5,-28.5
OX,393.25,-37.25
CX,385.5,-29.5
OX,387.5,-31.5
OX,379.25,-23.25
CX,397.5,-41.5
OX,397.5,-41.5
OX,379.25,-23.25
CX,385.5,-29.5
CX,387.5,-31.5
PMX,398.0,-42.0
PMX,382.0,-26.0
OX,376.0,-20.0
OX,391.25,-35.25
PMX,379.25,-23.25
OX,387.5,-31.5
CX,373.5,-17.5
PMX,379.25,-23.25
OX,387.5,-31.5
CX,379.25,-23.25
CX,379.25,-23.25
PMX,387.5,-35.25
CX,379.25,-27.0
PMX,379.25,-27.0
CX,387.5,-35.25
CX,376.0,-23.75
PMX,368.75,-16.5
OX,372.75,-20.5
CX,391.25,-39.0
OX,425.5,-73.25
CX,391.25,-39.0
PMX,391.25,-39.0
OX,387.5,-35.25
OX,376.0,-23.75
CX,376.0,-23.75
OX,418.5,-66.25
OX,391.25,-39.0
CX,406.75,-54.5
OX,410.0,-57.75
OX,380.75,-28.5
CX,420.25,-68.0
PMX,383.25,-31.0
PMX,369.25,-17.0
PMX,384.0,-31.75
PMX,425.5,-73.25
PMX,378.25,-26.0
CX,399.75,-47.5
OX,387.25,-35.0
CX,379.25,-27.0
PMX,376.0,-23.75
CX,376.0,-23.75
CX,365.5,-13.25
OX,365.5,-13.25
OX,378.5,-26.25
CX,399.75,-47.5
OX,365.5,-13.25
OX,380.75,-28.5
PMX,365.5,-13.25
OX,365.5,-13.25
OX,365.25,-13.0
OX,395.5,-43.25
CX,380.75,-31.0
CX,380.75,-31.0
CX,365.5,-15.75
CX,365.5,-15.75
PMX,388.5,-38.75
OX,349.75,0.0
CX,365.5,-15.75
OX,349.75,0.0
OX,426.25,-76.5
OX,389.5,-39.75
OX,426.25,-76.5
PMX,389.5,-39.75
CX,397.5,-47.75
OX,349.75,0.0
CX,390.5,-40.75
OX,365.5,-15.75
PMX,384.0,-34.25
PMX,387.25,-37.5
PMX,365.5,-15.75
PMX,349.75,0.0
CX,426.25,-76.5
CX,372.75,-23.0
CX,426.25,-76.5
OX,372.75,-23.0
PMX,406.75,-57.0
CX,372.75,-23.0
OX,375.75,-26.0
CX,387.25,-37.5
PMX,372.75,-23.0
PMX,385.25,-35.5
PMX,385.0,-35.25
PMX,390.5,-40.75
CX,349.75,0.0
PMX,390.5,-40.75
CX,349.75,0.0
PMX,373.25,-23.5
PMX,391.75,-42.0
PMX,410.5,-60.75
CX,385.25,-35.5
OX,381.0,-31.25
CX,385.25,-35.5
PMX,381.0,-31.25
OX,374.0,-24.25
CX,374.0,-24.25
CX,374.0,-24.25
OX,385.25,-35.5
CX,349.75,0.0
CX,385.0,-35.25
CX,385.25,-35.5
CX,366.75,-17.0
PMX,385.25,-35.5
CX,385.25,-35.5
OX,385.25,-35.5
OX,381.0,-31.25
CX,385.0,-35.25
PMX,385.25,-35.5
OX,381.0,-31.25
CX,374.0,-24.25
PMX,385.25,-35.5
CX,374.0,-24.25
OX,375.75,-26.0
PMX,374.0,-24.25
OX,375.0,-25.25
CX,374.0,-24.25
CX,385.25,-35.5
OX,374.0,-24.25
CX,374.0,-24.25
OX,375.75,-26.0
CX,349.75,0.0
OX,349.75,0.0
CX,375.0,-25.25
PMX,392.75,-43.0
PMX,375.75,-26.0
PMX,404.75,-55.0
CX,375.75,-26.0
OX,375.75,-26.0
PMX,396.75,-47.0
CX,366.5,-16.75
OX,375.0,-25.25
OX,374.0,-24.25
PMX,384.75,-35.0
OX,389.5,-39.75
PMX,388.5,-38.75
OX,373.25,-23.5
CX,395.0,-45.25
OX,396.5,-46.75
PMX,388.0,-38.25
CX,349.75,0.0
OX,392.25,-42.5
CX,404.75,-55.0
PMX,385.25,-35.5
PMX,422.25,-72.5
OX,370.25,-20.5
OX,395.0,-45.25
CX,386.25,-36.5
OX,352.5,-2.75
PMX,367.5,-17.75
OX,388.5,-38.75
PMX,384.75,-35.0
PMX,395.0,-45.25
CX,410.5,-60.75
CX,403.5,-53.75
OX,384.75,-35.0
OX,396.5,-46.75
OX,384.75,-35.0
CX,386.25,-36.5
CX,367.5,-17.75
CX,395.0,-45.25
PMX,383.75,-34.0
OX,386.25,-36.5
CX,370.25,-31.5
PMX,410.5,-71.75
PMX,370.25,-31.5
PMX,387.75,-49.0
OX,411.0,-72.25
PMX,368.5,-29.75
PMX,410.5,-71.75
PMX,386.25,-47.5
OX,370.25,-31.5
OX,408.25,-69.5
PMX,366.25,-27.5
PMX,367.75,-29.0
PMX,399.75,-61.0
OX,410.5,-71.75
CX,366.5,-27.75
PMX,375.5,-36.75
CX,355.5,-16.75
OX,408.25,-69.5
CX,408.25,-69.5
OX,411.0,-72.25
PMX,421.25,-82.5
CX,367.75,-29.0
OX,367.75,-29.0
CX,367.75,-29.0
CX,399.75,-61.0
PMX,411.0,-72.25
CX,367.75,-29.0
PMX,366.25,-27.5
OX,404.75,-66.0
PMX,389.0,-50.25
PMX,367.75,-29.0
PMX,367.75,-29.0
PMX,366.5,-27.75
CX,373.0,-34.25
CX,348.75,-10.0
OX,417.0,-78.25
PMX,367.75,-29.0
OX,388.25,-49.5
CX,411.0,-72.25
OX,367.75,-29.0
OX,348.75,-10.0
CX,367.75,-29.0
CX,367.75,-29.0
CX,366.5,-27.75
OX,375.5,-36.75
CX,367.75,-29.0
PMX,417.0,-78.25
OX,366.5,-27.75
CX,366.25,-27.5
PMX,348.75,-10.0
OX,372.0,-33.25
OX,366.25,-27.5
CX,366.25,-27.5
OX,357.25,-18.5
OX,366.25,-27.5
CX,366.5,-27.75
PMX,366.5,-27.75
PMX,366.5,-27.75
OX,366.25,-27.5
PMX,363.25,-24.5
CX,366.25,-27.5
PMX,356.25,-17.5
CX,348.75,-10.0
CX,372.0,-33.25
PMX,379.25,-40.5
CX,366.5,-27.75
CX,366.25,-27.5
CX,366.25,-27.5
OX,348.75,-10.0
OX,348.75,-10.0
OX,366.25,-27.5
CX,366.25,-27.5
OX,420.0,-81.25
CX,348.75,-10.0
OX,348.75,-10.0
OX,368.0,-29.25
PMX,348.75,-10.0
OX,348.75,-10.0
CX,366.25,-27.5
PMX,356.25,-17.5
CX,348.75,-10.0
PMX,375.5,-36.75
