index,value
1,17060.0
2,17060.0
3,17060.0
4,17060.0
5,17060.0
6,17060.0
7,17060.0
8,17060.0
9,17060.0
10,17060.0
11,17060.0
12,17060.0
13,16724.0
14,16724.0
15,16724.0
16,16724.0
17,16724.0
18,16724.0
19,16724.0
20,16724.0
21,16724.0
22,16724.0
23,16724.0
24,16724.0
25,16724.0
26,16724.0
27,16724.0
28,16724.0
29,16724.0
30,16724.0
31,16724.0
32,16724.0
33,16724.0
34,16724.0
35,16724.0
36,16724.0
37,16724.0
38,16724.0
39,16724.0
40,16724.0
41,16724.0
42,16724.0
43,16724.0
44,16724.0
45,16724.0
46,16724.0
47,16724.0
48,16724.0
49,16724.0
50,16724.0
51,16724.0
52,16724.0
53,16724.0
54,16724.0
55,16724.0
56,16724.0
57,16724.0
58,16724.0
59,16724.0
60,16724.0
61,16724.0
62,16724.0
63,16724.0
64,16724.0
65,16724.0
66,16724.0
67,16724.0
68,16724.0
69,16724.0
70,16724.0
71,16724.0
72,16724.0
73,16724.0
74,16724.0
75,16724.0
76,16724.0
77,16724.0
78,16724.0
79,16724.0
80,16724.0
81,16724.0
82,16724.0
83,16724.0
84,16724.0
85,16724.0
86,16724.0
87,16724.0
88,16724.0
89,16724.0
90,16724.0
91,16724.0
92,16724.0
93,16724.0
94,16724.0
95,16724.0
96,16724.0
97,16724.0
98,16724.0
99,16724.0
100,16724.0
101,16724.0
